epoch;acc;loss;val_acc;val_loss
0;0.54075;0.6870862483978272;0.5804;0.6729659233093261
1;0.6223;0.6494902791023255;0.6104;0.6563486642837525
2;0.69;0.5961717693328857;0.7376;0.5362613033294678
3;0.7375;0.5359667693138123;0.782;0.4816803614616394
4;0.7644;0.4953055863380432;0.7652;0.48055161380767825
5;0.7824;0.46963905668258665;0.8186;0.41312871685028074
6;0.794;0.4480242839336395;0.8036;0.4234032718658447
7;0.80355;0.43216785287857057;0.8316;0.3720807908535004
8;0.81585;0.4105379841327667;0.8248;0.38227774004936216
9;0.8199;0.40038321630954743;0.8442;0.35251409740448
10;0.8318;0.3790371851444244;0.8066;0.39861205787658693
11;0.8313;0.37635008535385134;0.8628;0.32936642026901247
12;0.8443;0.359281992149353;0.8616;0.320915913772583
13;0.84415;0.35818085837364194;0.866;0.31437578430175783
14;0.8454;0.3508372447013855;0.8678;0.3148463806152344
15;0.85535;0.33349521820545197;0.865;0.30575790989398954
16;0.85495;0.33332338511943815;0.873;0.2976560329914093
17;0.8575;0.3244631643295288;0.877;0.28869278478622434
18;0.86355;0.32388146505355836;0.8564;0.31833760938644406
19;0.86595;0.30986250925064085;0.8828;0.2768290071964264
20;0.8634;0.31657210907936095;0.8826;0.27246140446662903
21;0.86825;0.307832732629776;0.8762;0.2950647576332092
22;0.86995;0.30612648568153383;0.8794;0.27960070066452025
23;0.8727;0.3009340267181396;0.8676;0.3029235707759857
24;0.8718;0.2964663097143173;0.8736;0.2899231262207031
25;0.87255;0.2949049757480621;0.8846;0.267687126326561
26;0.87735;0.2917097198486328;0.8772;0.2846969440937042
27;0.87335;0.292340801525116;0.8828;0.2636271202325821
28;0.87895;0.28519902124404906;0.8712;0.2920028253555298
29;0.87935;0.2816451546430588;0.8774;0.28674442234039305
30;0.8819;0.2829353124141693;0.8872;0.25851916677951814
31;0.8828;0.27541451151371005;0.8932;0.2494230693101883
32;0.8865;0.27242848396301267;0.8982;0.2438432916879654
33;0.88725;0.2690267738819122;0.897;0.24858580143451692
34;0.8853;0.2715179563999176;0.9012;0.23772640033960343
35;0.88465;0.26679980595111846;0.8956;0.24225147483348847
36;0.8866;0.2681681816101074;0.8892;0.2555931800127029
37;0.88545;0.2683613912343979;0.891;0.24936421410441398
38;0.89115;0.26531948258876803;0.8922;0.2468841790676117
39;0.89145;0.25675436713695526;0.9026;0.23317354607582091
40;0.8934;0.25773982837200166;0.899;0.23991382086277008
41;0.89345;0.2544499703168869;0.8908;0.253100262928009
42;0.8936;0.252307741689682;0.8952;0.24043581070899964
43;0.89105;0.2576187745809555;0.8888;0.26880706031322477
44;0.8935;0.2516756518363953;0.8982;0.25265957570075986
45;0.8935;0.25504786710739136;0.8994;0.23683859223127365
46;0.8978;0.2461743660211563;0.8994;0.23274643280506135
47;0.8958;0.24841317327022552;0.9008;0.23989236433506012
48;0.8941;0.25182117941379545;0.9062;0.22546945364475252
49;0.89705;0.2451128888130188;0.9006;0.23541707596778869
