epoch;acc;loss;val_acc;val_loss
0;0.5766;0.670352935218811;0.6648;0.6311790046691894
1;0.6798;0.5956065547943116;0.7312;0.5406891646385192
2;0.72965;0.5388650299072265;0.7506;0.5206027987480164
3;0.75555;0.5036845964431763;0.7928;0.45047872848510745
4;0.77175;0.4816075855255127;0.804;0.45984872970581053
5;0.78795;0.457711434841156;0.822;0.4146668158531189
6;0.79075;0.4472912829399109;0.7882;0.45248017082214353
7;0.7976;0.4374090302467346;0.8262;0.39172126836776733
8;0.8068;0.42532947416305544;0.8382;0.38675899014472964
9;0.8124;0.4145564995765686;0.8364;0.39383771824836733
10;0.81945;0.39852906675338745;0.8386;0.36861129727363584
11;0.82055;0.3976164754867554;0.8482;0.3676576542854309
12;0.8236;0.3887216630458832;0.8396;0.3774773927688599
13;0.8274;0.3812792864322662;0.819;0.39441592116355895
14;0.83105;0.3777841519355774;0.8558;0.34423381786346435
15;0.83505;0.3695292948722839;0.8198;0.40172106637954713
16;0.8372;0.3653112582206726;0.8532;0.35433649892807006
17;0.8393;0.3580562505722046;0.8578;0.35697874159812926
18;0.84585;0.3538837827205658;0.8556;0.36416510624885556
19;0.8472;0.34149939975738525;0.864;0.33820234088897705
20;0.8477;0.3435889704227448;0.8706;0.3282099421977997
21;0.85125;0.3374209092140198;0.8728;0.3224577058315277
22;0.8572;0.3314165968418121;0.8694;0.3131434388637543
23;0.8576;0.32800674414634706;0.8756;0.31631354198455813
24;0.86065;0.324153705739975;0.8828;0.31813800201416015
25;0.86465;0.3199766842365265;0.8716;0.2994900055885315
26;0.86315;0.3179913338661194;0.8748;0.301488694190979
27;0.86595;0.3115218870997429;0.8772;0.29567784376144407
28;0.86445;0.3120921540260315;0.8696;0.33258668689727783
29;0.86905;0.30552059803009035;0.8828;0.29104425764083863
30;0.87085;0.3041682357788086;0.8838;0.291152441740036
31;0.86885;0.30376059870719907;0.8842;0.277502932882309
32;0.87195;0.30063751907348635;0.879;0.30101503019332887
33;0.86905;0.29880169377326965;0.8762;0.30111532583236694
34;0.8746;0.2946450977563858;0.8852;0.2847418542385101
35;0.87505;0.29393249773979185;0.8892;0.2773030806541443
36;0.8794;0.28668925733566286;0.8894;0.2681063836574554
37;0.8768;0.2851981500148773;0.8884;0.27510736570358274
38;0.8816;0.28718021054267884;0.8828;0.2982952032566071
39;0.88;0.2801216281414032;0.8886;0.29003495664596557
40;0.8782;0.2802325988769531;0.8876;0.2653017472743988
41;0.8808;0.2772184479236603;0.8904;0.261937793636322
42;0.87995;0.27995632047653196;0.8782;0.29962072348594665
43;0.8837;0.27330715675354006;0.881;0.29640516991615296
44;0.88345;0.27411242821216586;0.8856;0.2847354019165039
45;0.88705;0.2674269472360611;0.883;0.28029581384658814
46;0.8862;0.2710319945335388;0.8934;0.2603437391281128
47;0.8842;0.27075928418636325;0.896;0.27608666648864744
48;0.88865;0.2650647095680237;0.8934;0.26439264631271364
49;0.8864;0.27035772089958193;0.8808;0.2770364452362061
