epoch;acc;loss;val_acc;val_loss
0;0.5016;0.6937943021774292;0.493;0.6932578607559204
1;0.5028;0.6929383907318115;0.5166;0.6966589913368225
2;0.5943;0.668952026939392;0.6576;0.6325252462387085
3;0.66825;0.6132987617492676;0.7116;0.5597919986724853
4;0.71665;0.5559120150566101;0.7546;0.5058523944854736
5;0.76175;0.4999498267173767;0.7926;0.4427237141609192
6;0.78435;0.4633563648223877;0.8214;0.39752865009307864
7;0.79935;0.4332771013736725;0.8196;0.39036584005355834
8;0.8116;0.41163088245391843;0.8212;0.3989911603927612
9;0.8242;0.389573454618454;0.8238;0.3847826545715332
10;0.82795;0.38087373261451724;0.8604;0.33288488836288455
11;0.839;0.3655758850097656;0.8646;0.31663008098602297
12;0.84805;0.3485417611598968;0.8562;0.3268943425655365
13;0.8456;0.3475002031803131;0.8654;0.3155077531814575
14;0.86005;0.3258803444862366;0.8698;0.3037981506347656
15;0.8578;0.32759748964309693;0.845;0.33049177560806275
16;0.8643;0.3149361225128174;0.8794;0.28184509048461914
17;0.8675;0.30670271356105805;0.8788;0.28542959961891173
18;0.87435;0.29753730399608613;0.8594;0.3051679250717163
19;0.8773;0.29143756132125853;0.8828;0.2713807013988495
20;0.8805;0.2804721585273743;0.8912;0.25972917585372923
21;0.88245;0.2774008562326431;0.8728;0.290315575504303
22;0.8839;0.27375603880882265;0.8862;0.2665919595718384
23;0.88595;0.26478461372852324;0.8952;0.25142743639945986
24;0.88605;0.2690057911872864;0.891;0.2555771661758423
25;0.8901;0.25872632982730864;0.8952;0.246928964471817
26;0.89345;0.25210280756950376;0.8946;0.24491321115493775
27;0.89625;0.24458210408687592;0.8982;0.2437610020160675
28;0.89625;0.24613289465904237;0.8936;0.2452886492729187
29;0.89965;0.2399830161333084;0.8972;0.23720750007629396
30;0.9016;0.23910303947925568;0.8952;0.24504268760681153
31;0.9028;0.23301011028289795;0.9;0.23330696663856507
32;0.9051;0.22897906687259675;0.8902;0.24818143401145934
33;0.90715;0.22625211424827577;0.8944;0.24505771336555482
34;0.90505;0.2255933325767517;0.8978;0.23136814107894899
35;0.9088;0.21940406882762908;0.8946;0.2303167399406433
36;0.90975;0.22012666261196137;0.8994;0.23567274203300476
37;0.90915;0.21448695282936095;0.9016;0.2305236116886139
38;0.91455;0.2081514444231987;0.8984;0.23416211433410644
39;0.91165;0.21068259885311127;0.8912;0.24805279288291932
40;0.91535;0.20801630005836486;0.8708;0.2935984387397766
41;0.9141;0.20449796102046966;0.9018;0.2335942915916443
42;0.9203;0.19995163242816924;0.8904;0.25203662724494935
43;0.9191;0.19929060814380645;0.8988;0.23345821504592895
44;0.91785;0.2002944994688034;0.8988;0.22406140289306642
45;0.91925;0.19699433712959288;0.8876;0.2454409354686737
46;0.92115;0.19289199119806288;0.8842;0.26402000732421876
47;0.92275;0.1918192834377289;0.9018;0.2282038905143738
48;0.92425;0.18612411527633668;0.8946;0.23551114616394042
49;0.92645;0.18434405385255814;0.9012;0.22248408317565918
